FEATURE,DATASET,EXPERIMENT,FINE_TUNING,eval_loss,f1 score
Feature 4,4,1,fine_tuning 1,0.338772760720423,0.801667245571378
Feature 4,4,1,fine_tuning 2,0.302604851578293,0.818292895793332
Feature 4,4,2,fine_tuning 1,0.432943888300488,0.70917244190786
Feature 4,4,2,fine_tuning 2,0.3442821974578477,0.784376045500167
Feature 5,1,1,fine_tuning 1,0.3575738840531,0.73305049496714
Feature 5,1,1,fine_tuning 2,0.316912862515035,0.759330543933054
Feature 5,1,2,fine_tuning 1,0.4568102193794295,0.689761982393218
Feature 5,1,2,fine_tuning 2,0.47349258878453,0.68865911701953
Feature 5,2,1,fine_tuning 1,0.310428691124851,0.763702599768173
Feature 5,2,1,fine_tuning 2,0.2893424744941191,0.768939081691534
Feature 5,2,2,fine_tuning 1,0.393171235048451,0.72364814353351
Feature 5,2,2,fine_tuning 2,0.4115551328440607,0.714274001803722
Feature 5,3,1,fine_tuning 1,0.307558987770308,0.752658717370286
Feature 5,3,1,fine_tuning 2,0.303691282175457,0.78374118622978
Feature 5,3,2,fine_tuning 1,0.421016412528628,0.727800546448087
Feature 5,3,2,fine_tuning 2,0.4186990008644951,0.732040659434526
Feature 5,4,1,fine_tuning 1,0.3691188589068855,0.741606077934809
Feature 5,4,1,fine_tuning 2,0.3278361980491728,0.765350149352804
Feature 5,4,2,fine_tuning 1,0.465670398179688,0.7201202706088
Feature 5,4,2,fine_tuning 2,0.4336507301075685,0.742307692307692
Feature 6,1,1,fine_tuning 1,0.383074563765737,0.692008639308855
Feature 6,1,1,fine_tuning 2,0.361163061324452,0.770721205597416
Feature 6,1,2,fine_tuning 1,0.425574326405801,0.746205974992841
Feature 6,1,2,fine_tuning 2,0.660299746658625,0.689047261815453
Feature 6,2,1,fine_tuning 1,0.3159424618865801,0.74746034574942
Feature 6,2,1,fine_tuning 2,0.411918811856166,0.72039942938659
Feature 6,2,2,fine_tuning 1,0.4527902826110435,0.745952087870466
Feature 6,2,2,fine_tuning 2,0.539100252321291,0.733295259851513
Feature 6,3,1,fine_tuning 1,0.319968526032479,0.796416938110749
Feature 6,3,1,fine_tuning 2,0.4079938168630606,0.679635258358662
Feature 6,3,2,fine_tuning 1,0.31222126417988,0.779371776840131
Feature 6,3,2,fine_tuning 2,0.464359186852508,0.725842696629213
Feature 6,4,1,fine_tuning 1,0.3527471031283151,0.739165545087483
Feature 6,4,1,fine_tuning 2,0.3906058141660383,0.709265175718849
Feature 6,4,2,fine_tuning 1,0.3987510631045819,0.76650833566173
Feature 6,4,2,fine_tuning 2,0.52450954008707,0.735567970204841
Feature 7,1,1,fine_tuning 1,0.369834096521063,0.710641754670999
Feature 7,1,1,fine_tuning 2,0.3286024969274876,0.75546357615894
Feature 7,1,2,fine_tuning 1,0.405549134370042,0.719469175205778
Feature 7,1,2,fine_tuning 2,0.4294818986655788,0.707961678229269
Feature 7,2,1,fine_tuning 1,0.421859584471402,0.729581673306772
Feature 7,2,1,fine_tuning 2,0.35484806174645,0.735338345864661
Feature 7,2,2,fine_tuning 1,0.3646313347922,0.73882025404558
Feature 7,2,2,fine_tuning 2,0.481677320262807,0.713512599357348
Feature 7,3,1,fine_tuning 1,0.393380024788819,0.73303679741205
Feature 7,3,1,fine_tuning 2,0.340281098504954,0.750991340940357
Feature 7,3,2,fine_tuning 1,0.510745272071182,0.695090222408728
Feature 7,3,2,fine_tuning 2,0.441614850477301,0.713240857503152
Feature 7,4,1,fine_tuning 1,0.362924108096408,0.740746753246753
Feature 7,4,1,fine_tuning 2,0.3100137992339167,0.736331849968213
Feature 7,4,2,fine_tuning 1,0.4816349680836805,0.687787261982928
Feature 7,4,2,fine_tuning 2,0.413598771722343,0.727821757936831
Feature 8,1,1,fine_tuning 1,0.3112810409862397,0.821506094506595
Feature 8,1,1,fine_tuning 2,0.2568776692053635,0.829658987697134
Feature 8,1,2,fine_tuning 1,0.1727122385277385,0.839034363450499
Feature 8,1,2,fine_tuning 2,0.15365100989541,0.852783315442416
Feature 8,2,1,fine_tuning 1,0.24576698279099,0.82490842490842
Feature 8,2,1,fine_tuning 2,0.2437343094061361,0.83746646068786
Feature 8,2,2,fine_tuning 1,0.1876198706890778,0.82787533618098
Feature 8,2,2,fine_tuning 2,0.1794009749813566,0.833833517611751
Feature 8,3,1,fine_tuning 1,0.298291211537349,0.81740299008903
Feature 8,3,1,fine_tuning 2,0.276393065810278,0.825378249602942
Feature 8,3,2,fine_tuning 1,0.1701640191745622,0.830052808449351
Feature 8,3,2,fine_tuning 2,0.191018960013239,0.825457743663548
Feature 8,4,1,fine_tuning 1,0.2909719699857626,0.82617688425581
Feature 8,4,1,fine_tuning 2,0.2637156769599053,0.829900713875441
Feature 8,4,2,fine_tuning 1,0.1818586553370764,0.833359809372517
Feature 8,4,2,fine_tuning 2,0.1828269728224875,0.846557481316584
Feature 9,1,1,fine_tuning 1,0.4174115577240145,0.744429632450961
Feature 9,1,1,fine_tuning 2,0.4947760672169833,0.713151602104256
Feature 9,1,2,fine_tuning 1,0.2241974375732859,0.806625258799171
Feature 9,1,2,fine_tuning 2,0.2218096300314166,0.81995661605206
Feature 9,2,1,fine_tuning 1,0.390283340319429,0.735020223873577
Feature 9,2,1,fine_tuning 2,0.433997543532,0.7326091099676
Feature 9,2,2,fine_tuning 1,0.2103498057404067,0.81331689272503
Feature 9,2,2,fine_tuning 2,0.239330088171032,0.807143453225402
Feature 9,3,1,fine_tuning 1,0.410701183315455,0.731744664561202
Feature 9,3,1,fine_tuning 2,0.431716435802895,0.728993625651921
Feature 9,3,2,fine_tuning 1,0.2130754455874386,0.812074329437484
Feature 9,3,2,fine_tuning 2,0.2239815510440487,0.808816162965436
Feature 9,4,1,fine_tuning 1,0.4283474140478681,0.728929384965831
Feature 9,4,1,fine_tuning 2,0.379517819236806,0.765217391304347
Feature 9,4,2,fine_tuning 1,0.2335665115105631,0.81194818054294
Feature 9,4,2,fine_tuning 2,0.221822643638862,0.818898959382343
Feature 10,1,1,fine_tuning 1,0.300172796472051,0.779203576455004
Feature 10,1,1,fine_tuning 2,0.292577351857771,0.792117079660735
Feature 10,1,2,fine_tuning 1,0.354185739110963,0.759902855707227
Feature 10,1,2,fine_tuning 2,0.3459069232716608,0.759616186900292
Feature 10,2,1,fine_tuning 1,0.344810804084237,0.743717756698285
Feature 10,2,1,fine_tuning 2,0.2719386100669747,0.765547056867309
Feature 10,2,2,fine_tuning 1,0.454793503398404,0.709552964857837
Feature 10,2,2,fine_tuning 2,0.438474624166059,0.703538707237118
