FEATURE,DATASET,EXPERIMENT,FINE_TUNING,eval_loss,f1 score
Feature 11,3,2,fine_tuning 1,0.3839213437386206,0.776566530748106
Feature 11,3,2,fine_tuning 2,0.33703679356361,0.776770113986188
Feature 11,4,1,fine_tuning 1,0.2252190342363011,0.834106435017289
Feature 11,4,1,fine_tuning 2,0.2138197759901659,0.843303380402225
Feature 11,4,2,fine_tuning 1,0.3836500558040022,0.773948887056883
Feature 11,4,2,fine_tuning 2,0.35057094126814,0.78155981493721
Feature 12,1,1,fine_tuning 1,0.306323300615237,0.797842323651452
Feature 12,1,1,fine_tuning 2,0.308156671294401,0.79411022297013
Feature 12,1,2,fine_tuning 1,0.456303330118209,0.748119983100971
Feature 12,1,2,fine_tuning 2,0.410156944930135,0.764427145033
Feature 12,2,1,fine_tuning 1,0.316181977551262,0.777685676392572
Feature 12,2,1,fine_tuning 2,0.294082152895177,0.783249978808171
Feature 12,2,2,fine_tuning 1,0.485938034788619,0.73755806237558
Feature 12,2,2,fine_tuning 2,0.483093472539193,0.718175128771155
Feature 12,3,1,fine_tuning 1,0.2946446176673121,0.779702168986727
Feature 12,3,1,fine_tuning 2,0.2442317281859098,0.81691550588039
Feature 12,3,2,fine_tuning 1,0.553314322991782,0.670576573599867
Feature 12,3,2,fine_tuning 2,0.454154881997109,0.742545578463111
Feature 12,4,1,fine_tuning 1,0.279673734906228,0.788375679844143
Feature 12,4,1,fine_tuning 2,0.2538157276589224,0.79655508612284
Feature 12,4,2,fine_tuning 1,0.453048628052141,0.680917536791909
Feature 12,4,2,fine_tuning 2,0.4848416442918652,0.752935256625293
Feature 13,1,1,fine_tuning 1,0.237207784132538,0.820196264640708
Feature 13,1,1,fine_tuning 2,0.1921120964274022,0.853714739769566
Feature 13,1,2,fine_tuning 1,0.3211347036845194,0.789691377664651
Feature 13,1,2,fine_tuning 2,0.26661657583506,0.8180079681274
Feature 13,2,1,fine_tuning 1,0.25825102515998,0.803314917127071
Feature 13,2,1,fine_tuning 2,0.1906610247388016,0.843984063745019
Feature 13,2,2,fine_tuning 1,0.270025280355184,0.812883184827924
Feature 13,2,2,fine_tuning 2,0.233129587743486,0.827631363561957
Feature 13,3,1,fine_tuning 1,0.2256684597163899,0.819531918202317
Feature 13,3,1,fine_tuning 2,0.1760126062953906,0.856586733104951
Feature 13,3,2,fine_tuning 1,0.3034477569702122,0.807673060884
Feature 13,3,2,fine_tuning 2,0.2521306839519,0.819595774765033
Feature 13,4,1,fine_tuning 1,0.2479199246830402,0.815212245542054
Feature 13,4,1,fine_tuning 2,0.2019943884121911,0.833189010469967
Feature 13,4,2,fine_tuning 1,0.274728128894982,0.81352376341483
Feature 13,4,2,fine_tuning 2,0.2450355570129913,0.803913769787606
