,level_0,index,DIST,LAN_1,LAN_2,f1_1,f1_2,f1_3,f1_4,mean,variance,standard dev,common_features
60,91,93,2.23606797749979,Brt,Grg,54.8698715763154,59.264415825501004,55.132996262914894,62.223710649698496,57.87274857860745,9.347780428096602,3.057414009926788,7
61,92,94,2.23606797749979,Wel,Bsq,67.84530386740329,64.4434264773247,66.641502311975,66.177290466456,66.27688078078974,1.4910931883074499,1.2211032668482424,7
62,93,95,2.23606797749979,Sln,Grk,75.7399207643905,75.96020360944,76.5559195133364,78.44857439686001,76.67615457100673,1.136262007047548,1.0659559123376294,7
63,94,96,2.23606797749979,Brt,SCr,50.808909730363396,56.38985579313771,59.91508491508489,61.01611514331401,57.032491395475,15.831138205837146,3.9788362878908634,7
64,95,97,2.23606797749979,Arm,Bsq,46.2311557788944,60.64122738001571,57.028816199376905,58.0982843849956,55.49987093582065,30.358013204576213,5.509810632369883,7
65,96,98,2.23606797749979,Arm,Blg,67.85442073170731,68.3066463905537,65.0506912442396,66.3904322440907,66.90054765264782,1.642293493367817,1.2815199933546948,7
66,97,99,2.23606797749979,Arm,SCr,55.466321243523296,64.82849604221629,65.2708714996074,63.160575576212906,62.18156609038998,15.650754751999004,3.956103480951807,7
67,98,100,2.23606797749979,Bsq,Arm,51.1605298335156,49.3862815884476,50.6951102588686,53.1679113466634,51.1024582568738,1.8451658807160913,1.3583688308836048,7
68,99,101,2.23606797749979,Bsq,Est,74.6527777777777,73.9637432631063,75.1138235009202,73.48538129207269,74.30393145846922,0.39084281452314396,0.6251742273343839,7
69,100,102,2.23606797749979,Bsq,Wel,58.317185109637904,61.40711787698001,63.450586264656,62.0347394540942,61.30240717634203,3.5183747697181205,1.875733128597488,7
70,101,103,2.23606797749979,Arm,Lit,50.50437121721579,50.519510505656896,49.54995499549954,48.6019549897704,49.79394792703566,0.6278805049639291,0.79238911209325,7
71,102,104,2.23606797749979,Bsq,Brt,67.8092863820504,69.98538927155079,71.92637783062759,70.5810021518598,70.07551390902215,2.2062813185578967,1.485355620233046,7
72,103,105,2.23606797749979,Ltv,Est,75.9516081439952,75.5899343973367,74.83231262758821,75.8100221372509,75.54596932654276,0.18637638711992652,0.4317133158936918,7
73,104,107,2.23606797749979,Lit,Grm,70.31780931441129,70.46153846153841,69.78688691750699,69.8090452261306,70.09381997989682,0.09017316722190973,0.3002884733417347,7
74,105,108,2.23606797749979,Bsq,Ukr,59.2537313432835,70.9853658536585,68.65295031055001,70.39106145251391,67.32077724000148,22.426942360649207,4.735709277463008,7
75,106,109,2.23606797749979,Lit,Spn,77.49248207263471,76.84799428639441,77.28829573638829,76.84478371501271,77.11838895260755,0.07919676979555472,0.28141920651504,7
