,level_0,index,DIST,LAN_1,LAN_2,f1_1,f1_2,f1_3,f1_4,mean,variance,standard dev,common_features
76,107,109,2.23606797749979,Lit,Spn,80.3980560055542,80.37274315666801,79.0653986145356,81.59552134359691,80.35792978008868,0.80102481052214,0.8949998941464407,7
77,108,110,2.23606797749979,Lit,Prt,77.8470778470778,76.91209706197209,77.10508002783571,77.1684713005006,77.25818155934654,0.12451533162993737,0.35286730031264923,7
78,109,111,2.23606797749979,Lit,Alb,83.3199679230152,83.99627510975121,84.257265877287,84.74254742547421,84.0790140838819,0.26376175235586835,0.5135774063915471,7
79,110,112,2.23606797749979,Arm,Ltv,57.324155732415505,55.678582726985105,54.316776806651,53.7977430555555,55.279314580401774,1.8655808847443356,1.3658626888323495,7
80,111,113,2.23606797749979,Bsq,Sln,78.22926990419549,76.72955974842759,77.6560912272778,81.65492157308472,78.5674606132464,3.4638154701991595,1.8611328459299081,7
81,112,114,2.23606797749979,Lit,Hng,83.24903904511399,81.91950464396278,85.1992215507528,83.07283685769741,83.36015052438174,1.3881344241735667,1.178191166226248,7
82,113,115,2.23606797749979,Bsq,Pol,80.5245364204487,77.8618152085036,78.72505328424721,79.4642857142857,79.1439226568713,0.9569944783044194,0.9782609459159757,7
83,114,116,2.23606797749979,Lit,Fin,80.749093838099,81.4605036917163,81.3217811807374,80.7396301849075,81.06775222386506,0.10699791642441298,0.3271053598222031,7
84,115,117,2.23606797749979,Est,Bsq,57.1534127643853,54.737854737854704,64.5421386062583,61.87129164764939,59.576174439036926,14.801868693601145,3.847319676554204,7
85,116,118,2.23606797749979,Est,Blg,80.5586801649793,80.3612605687932,80.39062,79.5473833097595,80.214486010883,0.1540153956330847,0.39244795276964395,7
86,117,119,2.23606797749979,Est,SCr,54.64822609741429,59.96209728363859,62.79156791817378,56.0523446019629,58.363558975297394,10.326999548603684,3.2135649283317247,7
87,118,120,2.23606797749979,Est,Lit,78.64067327154571,77.85659718432821,78.74364078743639,78.90267798824291,78.5358973078883,0.16252802030130886,0.40314764082319626,7
88,119,121,2.23606797749979,Est,Ltv,70.9371293001186,70.5035971223021,69.9967352269017,71.0495719268576,70.621758394045,0.1717748182152528,0.41445725740449135,7
89,120,122,2.23606797749979,Brt,Blg,82.1227503461,81.4594192107222,80.1719925730479,80.17225238719341,80.98160362926588,0.7102607636545968,0.8427696978739784,7
90,121,123,2.23606797749979,Lit,Est,84.04234072298779,85.06578286632501,83.3874898456539,83.7395865473619,84.05879999558215,0.39170998813630376,0.6258673886186304,7
91,122,124,2.23606797749979,Tat,Ukr,58.313057583130515,56.518617294081395,58.947579835308,59.670822942643,58.36251941379072,1.3640938300485261,1.167944275232567,7
92,123,125,2.23606797749979,Lit,Arm,51.220993803911995,53.2579947102668,51.4697060587882,55.2890381386423,52.80943317790232,2.6669141520440194,1.6330689367090476,7
93,124,126,2.23606797749979,Grg,Brt,69.75982532751091,65.97537265068001,63.622392974753,67.32842352438891,66.67150361933321,4.937737195817603,2.2221019769168118,7
94,125,127,2.23606797749979,Grg,Ukr,64.90935611585739,65.7442348008385,64.6770237121831,64.7792098035072,65.02745610809654,0.17803709859591363,0.4219444259566817,7
96,127,129,2.23606797749979,Grg,Sln,64.75391745751399,70.0891346045357,66.0401146131805,57.84919653893691,64.68309080354177,19.443487608225865,4.409477022077093,7
97,128,130,2.23606797749979,Grg,Pol,67.60999793431101,74.33900389424059,72.99098392787141,72.90963257199601,71.96240458210477,6.6367210633937255,2.5761834296869712,7
98,129,245,2.6457513110645907,Grg,Prt,64.0362811791383,63.420236591248404,62.400715963754294,66.3018164881229,64.03976255556597,2.046796566092791,1.4306629813106897,5
99,130,246,2.6457513110645907,Fin,Dut,77.5256450108797,76.19959570166999,80.525486074619,77.88834188750391,78.03476716866814,2.4630451790650865,1.569409181528223,5
100,131,247,2.6457513110645907,Grg,Cz,63.71096877501999,69.7506758786422,72.14772023932301,65.71169171794611,67.83026415273282,10.946337956732311,3.3085250424822705,5
102,133,249,2.6457513110645907,Prt,Grg,66.606207174526,67.771677198798,65.8784137281573,67.5708502024291,66.9567870759776,0.581728695032154,0.7627114100576665,5
103,134,250,2.6457513110645907,Wel,Blg,81.46418899990658,83.0502146723912,82.26322726416869,83.29015544041451,82.51694659422026,0.5137247034640287,0.71674591276409,5
104,135,251,2.6457513110645907,Grk,Brt,67.9689186272393,72.07501908188848,71.8993658384447,75.10711225364179,71.76260395030357,6.423522787505661,2.534466963190813,5
105,136,252,2.6457513110645907,Grk,Fin,76.88559537102829,81.625371655104,77.1604315821316,79.7213774158736,78.84819400603436,3.7938750908440815,1.9477872293564513,5
106,137,253,2.6457513110645907,Arm,Rus,47.26362498577767,38.135409906986794,35.7590966122961,35.0899606089641,39.06202302850617,23.702872329532067,4.868559574405151,5
107,138,254,2.6457513110645907,Eng,Brt,71.083844580777,71.7938144329896,73.5958549222797,67.8059071729957,71.0698552772605,4.3895859984369405,2.095133885563627,5
108,139,255,2.6457513110645907,Brt,Lit,76.3189645716792,76.52733118971,76.45157695308141,77.11653116531159,76.60360096994555,0.09326091140424102,0.3053864951241967,5
109,140,256,2.6457513110645907,Est,Rom,43.77075522228171,41.831603723119706,44.198300892568994,42.91920069504771,43.17996513325453,0.8180293081413497,0.9044497267075432,5
110,141,257,2.6457513110645907,Est,Rus,48.468708388814896,42.0442446468709,49.69352014010508,46.10207515423443,46.577137082506326,8.515670759318185,2.918162222926989,5
111,142,258,2.6457513110645907,Trk,Ltv,68.4975082175803,69.9284511784511,68.610782309265,68.0104438642297,68.76179639238153,0.5045668760146163,0.7103287098341277,5
112,143,259,2.6457513110645907,Brt,Ltv,65.8674658674658,64.62032085561489,66.52518708812678,65.91859185918591,65.73289141759835,0.4795351553733074,0.6924847690551088,5
113,144,260,2.6457513110645907,Fin,Grk,73.7076648841354,75.10827444723041,72.68623024830691,73.6747529200359,73.79423062492717,0.7440361377422163,0.8625752939553836,5
114,145,261,2.6457513110645907,Dut,Pol,81.32045088566821,81.8577936224995,82.5811407720376,83.36800396235759,82.28184731064073,0.5933543661199567,0.7702949864304952,5
116,147,263,2.6457513110645907,Dut,Sln,81.8171544807322,82.056053029422,83.5730858468677,82.97482837528601,82.60528043307697,0.4990015645596265,0.7064004279158008,5
